,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
105,East Grand Rapids,12040,4,0,2,1,1,99,13,75,11,0
106,East Jordan,2351,4,0,2,0,2,24,3,21,0,0
107,East Lansing,47913,88,0,40,11,37,840,113,563,164,24
108,Eastpointe,32340,223,3,27,37,156,828,165,553,110,5
109,Eaton Rapids,5216,31,0,9,0,22,81,8,62,11,0
110,Eau Claire,599,0,0,0,0,0,1,1,0,0,0
111,Ecorse,9601,117,2,2,21,92,106,24,70,12,6
112,Elk Rapids,1618,0,0,0,0,0,0,0,0,0,0
113,Elkton,751,0,0,0,0,0,4,0,4,0,0
114,Elsie,983,0,0,0,0,0,1,0,0,1,0
115,Emmett Township,11668,43,0,6,4,33,601,77,507,17,1
116,Escanaba,12129,60,0,16,3,41,222,14,202,6,1
117,Essexville,3296,0,0,0,0,0,21,5,14,2,1
118,Evart,1865,13,0,4,1,8,21,8,11,2,1
119,Fair Haven Township,1038,0,0,0,0,0,2,0,2,0,0
120,Farmington,10587,6,0,2,0,4,83,15,64,4,0
121,Farmington Hills,81262,87,0,17,7,63,759,145,547,67,5
122,Fennville,1421,0,0,0,0,0,3,0,3,0,0
123,Fenton,11281,21,0,5,4,12,203,18,179,6,1
